node_id,celltype
37365,sensory
40045,sensory
40152,sensory
766246,sensory
891237,sensory
900032,sensory
902038,sensory
902877,sensory
945309,sensory
946481,sensory
1011675,sensory
1347886,sensory
1351125,sensory
1367171,sensory
1375101,sensory
1377586,sensory
1391179,sensory
1392771,sensory
1395971,sensory
1398253,sensory
1400725,sensory
1405493,sensory
1406463,sensory
1414206,sensory
1415168,sensory
1419315,sensory
1427012,sensory
1428271,sensory
1429969,sensory
1431256,sensory
1432836,sensory
1435466,sensory
1706716,sensory
1709802,sensory
1715990,sensory
1856512,sensory
2200028,sensory
2206279,sensory
2209091,sensory
2215247,sensory
2215447,sensory
2215622,sensory
2216131,sensory
2216187,sensory
2216445,sensory
2284021,sensory
2340336,sensory
2456826,sensory
2532841,sensory
2544902,sensory
2552701,sensory
2571761,sensory
2582391,sensory
2584838,sensory
2608843,sensory
2610744,sensory
2611805,sensory
3032520,sensory
3036249,sensory
3050645,sensory
3054101,sensory
3071301,sensory
3123905,sensory
3158543,sensory
3192952,sensory
3199456,sensory
3267019,sensory
3410499,sensory
3410506,sensory
3464773,sensory
3465659,sensory
3487306,sensory
3511996,sensory
3547397,sensory
3556191,sensory
3562954,sensory
3586984,sensory
3592997,sensory
3608397,sensory
3609202,sensory
3639968,sensory
3650600,sensory
3652587,sensory
3694515,sensory
3708875,sensory
3716797,sensory
3768025,sensory
3771794,sensory
3774568,sensory
3790004,sensory
3795424,sensory
3795498,sensory
3813723,sensory
3822523,sensory
3827211,sensory
3840345,sensory
3865952,sensory
3872653,sensory
3885215,sensory
3893195,sensory
3896629,sensory
3915835,sensory
3954014,sensory
3958234,sensory
3963891,sensory
3966683,sensory
3980315,sensory
3985829,sensory
4017089,sensory
4023881,sensory
4030526,sensory
4044654,sensory
4059758,sensory
4061049,sensory
4073353,sensory
4076389,sensory
4096703,sensory
4097554,sensory
4338596,sensory
4363883,sensory
5057916,sensory
5088293,sensory
5090549,sensory
5093516,sensory
5095269,sensory
5116147,sensory
5116861,sensory
5120097,sensory
5120990,sensory
5186461,sensory
5382876,sensory
5448622,sensory
5617164,sensory
5638694,sensory
6340439,sensory
6791927,sensory
6883831,sensory
7012280,sensory
7160160,sensory
7331555,sensory
7340629,sensory
7424178,sensory
7439909,sensory
7480731,sensory
7483922,sensory
7485368,sensory
7527710,sensory
7542938,sensory
7555204,sensory
7556564,sensory
7566199,sensory
7568455,sensory
7627878,sensory
7658146,sensory
7719547,sensory
7778722,sensory
8005609,sensory
8055671,sensory
8447845,sensory
8810739,sensory
9503203,sensory
9716858,sensory
9748269,sensory
9808022,sensory
9820270,sensory
9835169,sensory
9838294,sensory
9853425,sensory
10241716,sensory
10852875,sensory
10868477,sensory
10934438,sensory
10963761,sensory
11291344,sensory
11671564,sensory
11736972,sensory
11745381,sensory
11874130,sensory
12073881,sensory
12178825,sensory
12253020,sensory
12260696,sensory
13744425,sensory
15398807,sensory
15409328,sensory
15434200,sensory
15445198,sensory
15451084,sensory
15458316,sensory
15461769,sensory
15505837,sensory
15506094,sensory
15507888,sensory
15508475,sensory
15508735,sensory
15522777,sensory
15525858,sensory
15530882,sensory
15531033,sensory
15531916,sensory
15532105,sensory
15533421,sensory
15541944,sensory
15541976,sensory
15542354,sensory
15543068,sensory
15543394,sensory
15546924,sensory
15547732,sensory
15548107,sensory
15548694,sensory
15556081,sensory
15556868,sensory
15559195,sensory
15561413,sensory
15562137,sensory
15563553,sensory
15564661,sensory
15564706,sensory
15564782,sensory
15564807,sensory
15564882,sensory
15564911,sensory
15567466,sensory
15569561,sensory
15572414,sensory
15573283,sensory
15573331,sensory
15573381,sensory
15573396,sensory
15573450,sensory
15574199,sensory
15574231,sensory
15574328,sensory
15574508,sensory
15574941,sensory
15575052,sensory
15575232,sensory
15575327,sensory
15576194,sensory
15586536,sensory
15587166,sensory
15588691,sensory
15588800,sensory
15589362,sensory
15589411,sensory
15590761,sensory
15592696,sensory
15594038,sensory
15594123,sensory
15595607,sensory
15595823,sensory
15595950,sensory
15605657,sensory
15606918,sensory
15607180,sensory
15609885,sensory
15610387,sensory
15611642,sensory
15611791,sensory
15612241,sensory
15615042,sensory
15615081,sensory
15615305,sensory
15615475,sensory
15615589,sensory
15615776,sensory
15615877,sensory
15617459,sensory
15618756,sensory
15618976,sensory
15620432,sensory
15620606,sensory
15629241,sensory
15629355,sensory
15629888,sensory
15637893,sensory
15638520,sensory
15638742,sensory
15638968,sensory
15639020,sensory
15639171,sensory
15639275,sensory
15639548,sensory
15640425,sensory
15640548,sensory
15640567,sensory
15640724,sensory
15640893,sensory
15641926,sensory
15645825,sensory
15651438,sensory
15652529,sensory
15653288,sensory
15653432,sensory
15653927,sensory
15656435,sensory
15658013,sensory
15671481,sensory
15671848,sensory
15672153,sensory
15672957,sensory
15673867,sensory
15673925,sensory
15674083,sensory
15674262,sensory
15675901,sensory
15677030,sensory
15677323,sensory
15678441,sensory
15678833,sensory
15678849,sensory
15679484,sensory
15679577,sensory
15680093,sensory
15680710,sensory
15681740,sensory
15686512,sensory
15688358,sensory
15689373,sensory
15690093,sensory
15690392,sensory
15690711,sensory
15690955,sensory
15698623,sensory
15699715,sensory
15700147,sensory
15711222,sensory
15711289,sensory
15712024,sensory
15713206,sensory
15713374,sensory
15714173,sensory
15714330,sensory
15714639,sensory
15714845,sensory
15715151,sensory
15715643,sensory
15715796,sensory
15716094,sensory
15716127,sensory
15716309,sensory
15716701,sensory
15716934,sensory
15717229,sensory
15717426,sensory
15717736,sensory
15717935,sensory
15718275,sensory
15723479,sensory
15723727,sensory
15724175,sensory
15724385,sensory
15724520,sensory
15724636,sensory
15725127,sensory
15725545,sensory
15725673,sensory
15727304,sensory
15728017,sensory
15730645,sensory
15730680,sensory
15736147,sensory
15743905,sensory
15746421,sensory
15748726,sensory
15762568,sensory
15766999,sensory
15769419,sensory
15769680,sensory
15770032,sensory
15770904,sensory
15770945,sensory
15914721,sensory
15938337,sensory
15982306,sensory
15983156,sensory
15983225,sensory
15984231,sensory
15984797,sensory
15994926,sensory
15995327,sensory
15995404,sensory
15995861,sensory
15995929,sensory
15996160,sensory
15996271,sensory
15996518,sensory
15997645,sensory
15997666,sensory
15997692,sensory
15997807,sensory
15997929,sensory
15997983,sensory
15998100,sensory
15998218,sensory
15998261,sensory
15998307,sensory
15998469,sensory
15998753,sensory
15998768,sensory
15998782,sensory
15998817,sensory
15998899,sensory
15998913,sensory
16115501,sensory
16267292,sensory
16288872,sensory
16303262,sensory
16341399,sensory
16341507,sensory
16341966,sensory
16362243,sensory
16442344,sensory
16911458,sensory
17380936,sensory
